County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Abbeville County,SC,0.3,0.4,27.6,1.6,0.0,1.4,70.2,68.9
Acadia Parish,LA,0.4,0.3,18.0,2.8,0.0,1.6,79.7,77.3
Accomack County,VA,0.7,0.8,28.8,9.1,0.2,1.7,67.8,59.9
Ada County,ID,0.8,2.7,1.4,8.5,0.2,3.0,91.9,84.3
Adair County,IA,0.3,0.5,0.6,2.5,0.0,1.2,97.4,95.1
Adair County,KY,0.3,0.4,2.9,2.2,0.1,1.5,94.8,93.0
Adair County,MO,0.4,2.6,3.4,2.6,0.1,2.0,91.5,89.4
Adair County,OK,46.1,0.8,0.6,7.1,0.1,10.3,42.1,39.4
Adams County,CO,2.3,4.5,4.0,40.8,0.2,3.2,85.7,49.0
Adams County,IA,0.5,0.7,0.5,1.4,0.0,0.8,97.4,96.1
Adams County,ID,1.4,0.9,0.4,3.6,0.4,2.6,94.3,91.6
Adams County,IL,0.3,0.9,3.9,1.8,0.0,2.1,92.8,91.4
Adams County,IN,0.3,0.4,0.6,4.5,0.0,0.9,97.8,93.6
Adams County,MS,0.5,0.6,53.4,10.1,0.0,1.0,44.4,35.5
Adams County,ND,0.7,2.8,0.9,1.6,0.0,1.8,93.7,92.2
Adams County,NE,1.3,1.3,1.3,11.0,0.1,1.3,94.7,85.1
Adams County,OH,0.6,0.4,0.5,1.0,0.0,1.5,97.1,96.2
Adams County,PA,0.4,0.9,2.0,7.3,0.0,1.5,95.1,88.7
Adams County,WA,6.2,1.4,2.2,64.7,0.1,1.7,88.5,32.5
Adams County,WI,1.2,0.6,2.9,4.2,0.0,1.4,93.8,90.3
Addison County,VT,0.3,1.8,1.3,2.3,0.0,2.0,94.5,92.6
Aiken County,SC,0.6,1.2,25.3,5.9,0.1,2.2,70.7,65.8
Aitkin County,MN,2.7,0.3,0.6,1.4,0.0,1.6,94.8,93.8
Alachua County,FL,0.4,6.2,20.6,10.5,0.1,2.9,69.9,60.6
Alamance County,NC,1.5,1.7,20.9,13.1,0.1,2.3,73.6,62.9
Alameda County,CA,1.1,32.3,11.0,22.3,0.9,5.4,49.3,30.6
Alamosa County,CO,5.5,1.7,1.8,47.6,0.3,3.2,87.5,47.1
Albany County,NY,0.3,6.8,14.1,6.3,0.1,2.9,75.8,71.6
Albany County,WY,1.1,3.9,2.0,9.7,0.1,2.6,90.3,81.9
Albemarle County,VA,0.4,5.5,9.7,5.8,0.1,2.6,81.8,76.9
Alcona County,MI,0.7,0.4,0.5,1.6,0.1,1.4,96.8,95.3
