County,FIPS,Yes/No(1)
"Accomack County, Virginia",51001,yes
"Ada County, Idaho",16001,yes
"Adams County, Colorado",8001,yes
"Adams County, Illinois",17001,yes
"Adams County, Indiana",18001,yes
"Adams County, Nebraska",31001,yes
"Adams County, Pennsylvania",42001,yes
"Adams County, Wisconsin",55001,yes
"Alamosa County, Colorado",8003,yes
"Albany County, New York",36001,yes
"Aleutians East Borough, Alaska",2013,yes
"Aleutians West Census Area, Alaska",2016,yes
"Allegany County, Maryland",24001,yes
"Allegany County, New York",36003,yes
"Alleghany County and Clifton Forge City, Virginia",51005,yes
"Allegheny County, Pennsylvania",42003,yes
"Allen County, Kansas",20001,yes
"Allen Parish, Louisiana",22003,yes
"Anchorage Borough, Alaska",2020,yes
"Anderson County, Texas",48001,yes
"Andrew County, Missouri",29003,yes
"Andrews County, Texas",48003,yes
"Angelina County, Texas",48005,yes
"Aransas County, Texas",48007,yes
"Archuleta County, Colorado",8007,yes
"Armstrong County, Pennsylvania",42005,yes
"Aroostook County, Maine",23003,yes
"Ascension Parish, Louisiana",22005,yes
"Ashland County, Wisconsin",55003,yes
"Atlantic County, New Jersey",34001,yes
"Atoka County, Oklahoma",40005,yes
"Audrain County, Missouri",29007,yes
"Austin County, Texas",48015,yes
"Avoyelles Parish, Louisiana",22009,yes
"Baca County, Colorado",8009,yes
"Baker County, Oregon",41001,yes
"Baldwin County, Georgia",13009,yes
"Bamberg County, South Carolina",45009,yes
"Banks County, Georgia",13011,yes
"Baraga County, Michigan",26013,yes
"Barrow County, Georgia",13013,yes
"Barry County, Michigan",26015,yes
"Barry County, Missouri",29009,yes
"Barton County, Kansas",20009,yes
"Bastrop County, Texas",48021,yes
"Bates County, Missouri",29013,yes
"Bath County, Kentucky",21011,yes
"Baxter County, Arkansas",5005,yes
"Bay County, Florida",12005,yes
"Beaufort County, South Carolina",45013,yes
"Beauregard Parish, Louisiana",22011,yes
"Beaver County, Pennsylvania",42007,yes
"Becker County, Minnesota",27005,yes
"Bedford County, Pennsylvania",42009,yes
"Bedford County, Tennessee",47003,yes
"Bee County, Texas",48025,yes
"Belknap County, New Hampshire",33001,yes
"Bell County, Texas",48027,yes
"Bent County, Colorado",8011,yes
"Benton County, Arkansas",5007,yes
"Benton County, Indiana",18007,yes
"Benton County, Oregon",41003,yes
"Benton County, Washington",53005,yes
"Berkeley County, West Virginia",54003,yes
"Berks County, Pennsylvania",42011,yes
"Bernalillo County, New Mexico",35001,yes
"Berrien County, Michigan",26021,yes
"Bethel Census Area, Alaska",2050,yes
"Bexar County, Texas",48029,yes
"Bibb County, Alabama",1007,yes
"Bienville Parish, Louisiana",22013,yes
"Bingham County, Idaho",16011,yes
"Bladen County, North Carolina",37017,yes
"Blaine County, Idaho",16013,yes
"Blaine County, Montana",30005,yes
"Blaine County, Oklahoma",40011,yes
"Boise County, Idaho",16015,yes
"Bon Homme County, South Dakota",46009,yes
"Bonneville County, Idaho",16019,yes
"Boone County, Indiana",18011,yes
"Boone County, Iowa",19015,yes
"Borden County, Texas",48033,yes
"Bosque County, Texas",48035,yes
"Bossier Parish, Louisiana",22015,yes
"Bottineau County, North Dakota",38009,yes
"Boulder County, Colorado",8013,yes
"Boundary County, Idaho",16021,yes
"Bourbon County, Kansas",20011,yes
"Box Elder County, Utah",49003,yes
"Bradford County, Pennsylvania",42015,yes
"Brazoria County, Texas",48039,yes
"Brazos County, Texas",48041,yes
"Breathitt County, Kentucky",21025,yes
"Brevard County, Florida",12009,yes
"Brewster County, Texas",48043,yes
"Briscoe County, Texas",48045,yes
"Bristol County, Massachusetts",25005,yes
"Brown County, Minnesota",27015,yes
"Brown County, South Dakota",46013,yes
"Brown County, Wisconsin",55009,yes
"Bryan County, Oklahoma",40013,yes
"Buchanan County, Virginia",51027,yes
"Buckingham County, Virginia",51029,yes
"Bucks County, Pennsylvania",42017,yes
"Bulloch County, Georgia",13031,yes
"Bureau County, Illinois",17011,yes
"Burleson County, Texas",48051,yes
"Burlington County, New Jersey",34005,yes
"Burnet County, Texas",48053,yes
"Butler County, Kansas",20015,yes
"Butler County, Nebraska",31023,yes
"Butler County, Pennsylvania",42019,yes
"Butte County, California",6007,yes
"Cabarrus County, North Carolina",37025,yes
"Cache County, Utah",49005,yes
"Caddo County, Oklahoma",40015,yes
"Caddo Parish, Louisiana",22017,yes
"Calcasieu Parish, Louisiana",22019,yes
"Caldwell County, Missouri",29025,yes
"Caldwell County, Texas",48055,yes
"Caldwell Parish, Louisiana",22021,yes
"Caledonia County, Vermont",50005,yes
"Calhoun County, Iowa",19025,yes
"Calhoun County, Texas",48057,yes
"Calhoun County, West Virginia",54013,yes
"Callahan County, Texas",48059,yes
"Cambria County, Pennsylvania",42021,yes
"Camden County, Georgia",13039,yes
"Camden County, Missouri",29029,yes
"Camden County, New Jersey",34007,yes
"Cameron County, Texas",48061,yes
"Cameron Parish, Louisiana",22023,yes
"Campbell County, South Dakota",46021,yes
"Campbell County, Wyoming",56005,yes
"Canadian County, Oklahoma",40017,yes
"Canyon County, Idaho",16027,yes
"Carbon County, Pennsylvania",42025,yes
"Carbon County, Wyoming",56007,yes
"Caribou County, Idaho",16029,yes
"Carroll County, Arkansas",5015,yes
"Carroll County, Iowa",19027,yes
"Carroll County, Missouri",29033,yes
"Carroll County, New Hampshire",33003,yes
"Carter County, Oklahoma",40019,yes
"Cascade County, Montana",30013,yes
"Cass County, Iowa",19029,yes
"Cass County, Michigan",26027,yes
"Cass County, Missouri",29037,yes
"Cass County, Nebraska",31025,yes
"Cass County, Texas",48067,yes
"Cassia County, Idaho",16031,yes
