Stabr,County,amount_of_facilities
AK,Aleutians East Borough,3
AK,Aleutians West Census Area,14
AK,Anchorage Municipality,40
AK,Bethel Census Area,10
AK,Denali Borough,10
AK,Juneau City and Borough,17
AK,Fairbanks North Star Borough,79
AK,Juneau City And Borough,37
AK,Kenai Peninsula Borough,28
AK,Ketchikan Gateway Borough,1
AK,Kodiak Island Borough,10
AK,Matanuska-Susitna Borough,11
AK,North Slope Borough,2
AK,Northwest Arctic Borough,23
AK,Southeast Fairbanks Censu,34
AK,Valdez-Cordova Census Area,26
AL,Autauga,19
AL,Baldwin,19
AL,Barbour,12
AL,Bibb,5
AL,Blount,3
AL,Bullock,1
AL,Butler,4
AL,Calhoun,51
AL,Chambers,13
AL,Cherokee,11
AL,Chilton,6
AL,Choctaw,21
AL,Clarke,31
AL,Clay,7
AL,Cleburne,2
AL,Coffee,16
AL,Colbert,39
AL,Conecuh,5
AL,Coosa,1
AL,Covington,5
AL,Cullman,31
AL,Dale,26
AL,Dallas,26
AL,Dekalb,41
AL,Elmore,12
AL,Escambia,45
AL,Etowah,25
AL,Fayette,8
AL,Franklin,13
AL,Geneva,5
AL,Greene,1
AL,Hale,2
AL,Henry,3
AL,Houston,30
AL,Jackson,34
AL,Jefferson,231
AL,Lamar,12
AL,Lauderdale,13
AL,Lawrence,5
AL,Lee,13
AL,Limestone,64
AL,Lowndes,15
AL,Madison,62
AL,Marengo,31
AL,Marion,21
AL,Marshall,35
AL,Mobile,250
AL,Monroe,25
AL,Montgomery,89
AL,Morgan,140
AL,Pickens,10
AL,Pike,17
AL,Randolph,6
AL,Russell,25
AL,Shelby,63
AL,St. Clair,52
AL,Sumter,82
AL,Talladega,82
AL,Tallapoosa,4
AL,Tuscaloosa,96
AL,Walker,20
AL,Washington,53
AL,Wilcox,17
AL,Winston,17
AR,Arkansas,10
AR,Ashley,11
AR,Baxter,8
AR,Benton,40
AR,Boone,14
AR,Bradley,2
AR,Calhoun,11
AR,Carroll,4
AR,Clark,208
AR,Clay,3
AR,Cleburne,5
AR,Cleveland,3
AR,Columbia,42
AR,Conway,25
AR,Craighead,28
AR,Crawford,8
AR,Crittenden,23
AR,Desha,24
AR,Drew,3
AR,Faulkner,20
AR,Franklin,14
AR,Garland,18
AR,Grant,3
AR,Greene,32
AR,Hempstead,35
AR,Hot Spring,12
AR,Howard,12
AR,Independence,52
AR,Izard,3
AR,Jackson,12
AR,Jefferson,58
AR,Johnson,14
AR,Lawrence,6
AR,Little River,53
AR,Logan,7
AR,Lonoke,11
AR,Madison,3
AR,Marion,12
AR,Miller,8
AR,Mississippi,124
AR,Nevada,3
AR,Ouachita,1
AR,Phillips,26
AR,Pike,1
AR,Poinsett,1
AR,Polk,10
AR,Pope,26
AR,Prairie,2
AR,Pulaski,91
AR,Randolph,8
AR,Saline,4
AR,Scott,4
AR,Searcy,2
AR,Sebastian,58
AR,Sevier,1
AR,St Francis,2
AR,Union,290
AR,Washington,47
AR,White,9
AR,Woodruff,4
AR,Yell,13
AS,Eastern,4
AZ,Apache,28
AZ,Cochise,15
AZ,Coconino,13
AZ,Gila,41
AZ,Graham,12
AZ,Greenlee,29
AZ,La Paz,1
AZ,Maricopa,514
AZ,Mohave,32
AZ,Navajo,21
AZ,Pima,82
AZ,Pinal,74
AZ,Santa Cruz,4
AZ,Yavapai,47
AZ,Yuma,43
CA,Alameda,108
CA,Amador,2
CA,Colusa,3
CA,Contra Costa,238
CA,Del Norte,2
CA,Fresno,63
CA,Glenn,4
CA,Humboldt,4
CA,Imperial,15
CA,Inyo,3
CA,Kern,161
CA,Kings,37
CA,Lake,1
CA,Lassen,9
CA,Los Angeles,1325
CA,Madera,31
CA,Mendocino,1
CA,Merced,30
CA,Mono,1
CA,Monterey,8
CA,Napa,6
CA,Orange,204
CA,Placer,21
CA,Plumas,4
CA,Riverside,98
CA,Sacramento,57
CA,San Benito,10
CA,San Bernardino,268
CA,San Diego,144
CA,San Francisco,2
CA,San Joaquin,76
CA,San Luis Obispo,14
CA,San Mateo,11
CA,Santa Barbara,18
CA,Santa Clara,77
CA,Santa Cruz,1
CA,Shasta,18
CA,Siskiyou,5
CA,Solano,65
CA,Sonoma,29
CA,Stanislaus,59
CA,Tehama,1
CA,Tulare,67
CA,Tuolumne,1
CA,Ventura,41
CA,Yolo,8
CA,Yuba,4
CO,Adams,184
CO,Alamosa,8
CO,Arapahoe,10
CO,Boulder,41
CO,Broomfield,4
CO,Clear Creek,4
CO,Denver,42
CO,Douglas,28
CO,Eagle,1
CO,El Paso,56
CO,Elbert,2
CO,Fremont,7
CO,Garfield,10
CO,Grand,9
CO,Jefferson,36
CO,La Plata,7
CO,Lake,10
CO,Larimer,28
CO,Logan,9
CO,Mesa,16
CO,Moffat,20
CO,Morgan,23
CO,Prowers,2
CO,Pueblo,90
CO,Rio Blanco,5
CO,Routt,10
CO,Summit,3
CO,Teller,7
CO,Weld,210
CO,Yuma,7
CT,Fairfield,104
CT,Hartford,168
CT,Litchfield,45
CT,Middlesex,34
CT,New Haven,242
CT,New London,26
CT,Tolland,12
CT,Windham,26
DC,District Of Columbia,19
DE,Kent,22
DE,New Castle,108
DE,Sussex,41
