County,FIPS,Water Violation,Air Polution measured by Micrograms per cubic meter,State,Stabr,Rural_Urban_Continuum_Code_2013,POVALL_2023,PCTPOVALL_2023,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,amount_of_facilities,Percent_COPD,Average Annual Count
Autauga,1001.0,no,9.3,Alabama,AL,2.0,"7,004",11.7,0.5,1.2,20.1,3.0,0.1,1.9,76.3,73.8,19.0,6.8,324
Baldwin,1003.0,no,7.8,Alabama,AL,3.0,"24,942",10.0,0.8,1.1,8.8,4.7,0.1,1.9,87.4,83.2,19.0,6.5,1450
Barbour,1005.0,no,8.8,Alabama,AL,6.0,"5,585",25.5,0.7,0.5,48.2,4.5,0.2,1.2,49.2,45.5,12.0,9.7,158
Bibb,1007.0,yes,8.6,Alabama,AL,1.0,"3,870",19.4,0.5,0.2,21.3,2.8,0.1,1.2,76.8,74.4,5.0,8.6,128
Blount,1009.0,no,8.8,Alabama,AL,1.0,"7,590",12.8,0.6,0.3,1.7,9.7,0.1,1.4,95.8,86.8,3.0,7.8,319
Bullock,1011.0,no,8.4,Alabama,AL,6.0,"2,779",33.6,0.8,0.2,70.3,8.6,0.8,1.3,26.6,21.0,1.0,9.8,57
Butler,1013.0,no,8.4,Alabama,AL,6.0,"4,263",23.6,0.4,1.4,45.0,1.5,0.0,1.1,52.1,51.1,4.0,8.2,122
Calhoun,1015.0,no,8.9,Alabama,AL,3.0,"22,174",20.1,0.5,0.9,21.3,4.1,0.1,2.0,75.1,71.7,51.0,8.2,733
Chambers,1017.0,no,8.9,Alabama,AL,6.0,"5,661",17.1,0.3,1.1,40.2,2.6,0.0,1.3,57.0,55.1,13.0,7.9,215
Cherokee,1019.0,no,8.4,Alabama,AL,6.0,"3,949",15.6,0.7,0.4,4.1,1.7,0.0,1.6,93.2,91.7,11.0,8.8,163
Chilton,1021.0,no,8.9,Alabama,AL,1.0,"7,026",15.3,0.6,0.5,10.3,8.2,0.2,1.4,87.1,79.9,6.0,8.3,237
Choctaw,1023.0,yes,8.7,Alabama,AL,9.0,"3,017",24.8,0.2,0.2,41.7,1.0,-1.0,0.7,57.1,56.3,21.0,8.8,79
Clarke,1025.0,no,8.8,Alabama,AL,7.0,"4,174",19.0,0.6,0.4,45.0,1.3,0.0,1.0,53.0,52.1,31.0,8.5,164
Clay,1027.0,no,6.8,Alabama,AL,9.0,"2,337",16.9,0.6,0.3,13.8,3.3,-1.0,2.1,83.2,80.3,7.0,8.7,96
Cleburne,1029.0,no,8.3,Alabama,AL,8.0,"2,432",15.8,0.5,0.2,2.8,2.6,0.1,1.3,95.1,92.8,2.0,8.5,88
Coffee,1031.0,yes,8.9,Alabama,AL,4.0,"9,055",16.5,1.4,1.7,17.6,8.0,0.4,3.1,75.8,69.4,16.0,7.3,277
Colbert,1033.0,no,7.5,Alabama,AL,3.0,"8,912",15.4,0.7,0.7,16.2,3.2,0.1,1.9,80.4,77.7,39.0,7.5,345
Conecuh,1035.0,no,8.5,Alabama,AL,7.0,"2,920",26.5,0.6,0.2,46.1,2.3,0.0,1.4,51.8,50.4,5.0,8.5,84
Coosa,1037.0,no,8.5,Alabama,AL,8.0,"1,809",18.2,0.6,0.2,30.9,2.6,0.2,1.4,66.8,65.1,1.0,7.5,64
Covington,1039.0,no,8.6,Alabama,AL,6.0,"6,204",16.7,0.8,0.5,12.5,1.9,0.0,1.7,84.5,83.1,5.0,8.5,219
Crenshaw,1041.0,no,8.5,Alabama,AL,8.0,"2,520",19.5,0.7,1.1,23.9,2.4,0.0,2.1,72.2,70.3,,8.3,102
Cullman,1043.0,no,8.7,Alabama,AL,4.0,"14,081",15.5,0.6,0.7,1.4,4.5,0.1,1.4,95.7,91.7,31.0,7.8,471
Dale,1045.0,no,9.0,Alabama,AL,4.0,"8,124",16.6,0.9,1.5,21.0,7.0,0.2,2.8,73.8,68.0,26.0,7.8,269
Dallas,1047.0,no,8.7,Alabama,AL,4.0,"11,197",31.4,0.3,0.4,70.7,1.2,0.0,0.9,27.6,27.0,26.0,8.4,221
DeKalb,1049.0,no,7.2,Alabama,AL,6.0,"15,494",21.6,2.0,0.5,1.9,15.1,0.6,2.3,92.7,79.8,41.0,9.5,338
Elmore,1051.0,no,9.4,Alabama,AL,2.0,"10,562",12.5,0.5,0.8,21.2,3.2,0.1,1.8,75.7,73.1,12.0,6.7,502
Escambia,1053.0,no,8.9,Alabama,AL,6.0,"7,331",21.3,3.9,0.3,31.3,2.6,0.1,2.2,62.3,60.3,45.0,9.8,191
Etowah,1055.0,no,7.9,Alabama,AL,3.0,"19,921",19.6,0.6,0.8,15.7,4.1,0.3,1.9,80.7,77.5,25.0,8.1,640
